Timestamp,Flowrate (L/min),B2 - General - TGS2610 - V,B2 - General - TGS2611 - V,B2 - General - TGS2612 - V,B2 - General - MQ9_b - V,B2 - BME680 - temperature - °C,B2 - BME680 - temperature - V,B2 - BME680 - pressure - KPa,B2 - BME680 - pressure - V,B2 - BME680 - humidity - %,B2 - BME680 - humidity - V,B2 - BME680 - gas - Kohms,B2 - BME680 - gas - V,B2 - SGP41 - SRAW_VOC - raw,B2 - SGP41 - SRAW_NOx - raw,B1 - General - TGS2600 - V,B1 - General - TGS2602 - V,B1 - General - TGS2603 - V,B1 - General - MQ2 - V,B1 - Multichannel Gas Sensor - GM102B (NO2) - ppm,B1 - Multichannel Gas Sensor - GM102B (NO2) - V,B1 - Multichannel Gas Sensor - GM302B (C2H5CH) - ppm,B1 - Multichannel Gas Sensor - GM302B (C2H5CH) - V,B1 - Multichannel Gas Sensor - GM502B (VOC) - ppm,B1 - Multichannel Gas Sensor - GM502B (VOC) - V,B1 - Multichannel Gas Sensor - GM702B (CO) - ppm,B1 - Multichannel Gas Sensor - GM702B (CO) - V,B1 - SGP30 - tVOC - ppb,B1 - SGP30 - tVOC - V,B1 - SGP30 - CO2eq - ppm,B1 - SGP30 - CO2eq - V,B1 - BME688 - temperature - °C,B1 - BME688 - temperature - V,B1 - BME688 - pressure - KPa,B1 - BME688 - pressure - V,B1 - BME688 - humidity - %,B1 - BME688 - humidity - V,B1 - BME688 - gas - Kohms,B1 - BME688 - gas - V,B1 - Formaldehyde - hcho - ppb,B1 - Formaldehyde - hcho - V,B1 - Formaldehyde - humidity - %,B1 - Formaldehyde - humidity - V,B1 - Formaldehyde - temperature - °C,B1 - Formaldehyde - temperature - V
16-07-2025 14:40:47,1.0,2.11,0.18,0.45,0.18,24.56 °C,1.69,94.66 KPa,2.67,29.50 %,0.96,0.00 Kohms,0.00,31457,0,2.08,1.95,2.81,0.35,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,92 ppm,0.30,507 ppb,0.027,1198ppm,0.04,26.50 °C,1.74,94.68 KPa,2.67,37.37 %,1.22,12946.86 Kohms,27.19,30.40 ppb,0.099,25.53 %,0.82,26.04 °C,2.17
16-07-2025 14:40:52,1.0,2.11,0.18,0.46,0.19,24.56 °C,1.69,94.66 KPa,2.67,29.53 %,0.96,77.89 Kohms,0.16,31509,0,1.81,1.94,2.82,0.33,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,93 ppm,0.30,513 ppb,0.028,1193ppm,0.04,26.50 °C,1.74,94.68 KPa,2.67,37.33 %,1.22,12946.86 Kohms,27.19,30.40 ppb,0.099,25.54 %,0.82,26.02 °C,2.17
16-07-2025 14:40:57,1.0,1.63,0.19,0.45,0.19,24.58 °C,1.69,94.66 KPa,2.67,29.53 %,0.96,75.91 Kohms,0.16,31532,0,2.07,1.95,2.83,0.36,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,92 ppm,0.30,518 ppb,0.028,1203ppm,0.04,26.50 °C,1.74,94.68 KPa,2.67,37.35 %,1.22,12946.86 Kohms,27.19,30.40 ppb,0.099,25.54 %,0.82,26.02 °C,2.17
16-07-2025 14:41:02,1.0,0.96,0.18,0.45,0.18,24.60 °C,1.69,94.66 KPa,2.67,29.51 %,0.96,77.24 Kohms,0.16,31547,0,1.82,1.95,2.84,0.34,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,93 ppm,0.30,508 ppb,0.027,1183ppm,0.04,26.50 °C,1.74,94.68 KPa,2.67,37.35 %,1.22,12946.86 Kohms,27.19,30.20 ppb,0.099,25.54 %,0.82,26.03 °C,2.17
16-07-2025 14:41:07,1.0,1.25,0.18,0.45,0.19,24.61 °C,1.69,94.66 KPa,2.67,29.50 %,0.96,78.84 Kohms,0.17,31560,0,2.01,1.94,2.84,0.35,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,93 ppm,0.30,517 ppb,0.028,1178ppm,0.04,26.50 °C,1.74,94.68 KPa,2.67,37.34 %,1.22,12946.86 Kohms,27.19,30.40 ppb,0.099,25.55 %,0.82,26.03 °C,2.17
16-07-2025 14:41:12,1.0,1.99,0.18,0.45,0.18,24.61 °C,1.69,94.66 KPa,2.67,29.46 %,0.96,79.36 Kohms,0.17,31563,0,1.95,1.96,2.82,0.34,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,92 ppm,0.30,508 ppb,0.027,1183ppm,0.04,26.50 °C,1.74,94.68 KPa,2.67,37.35 %,1.22,12946.86 Kohms,27.19,30.60 ppb,0.099,25.56 %,0.82,26.01 °C,2.17
16-07-2025 14:41:17,1.0,2.05,0.19,0.45,0.18,24.61 °C,1.69,94.66 KPa,2.67,29.46 %,0.96,79.59 Kohms,0.17,31564,0,1.76,1.96,2.81,0.36,259 ppm,0.84,406 ppm,1.31,113 ppm,0.36,93 ppm,0.30,509 ppb,0.027,1166ppm,0.04,26.50 °C,1.74,94.68 KPa,2.67,37.37 %,1.22,12946.86 Kohms,27.19,30.60 ppb,0.099,25.54 %,0.82,26.03 °C,2.17
16-07-2025 14:41:22,1.0,1.38,0.18,0.45,0.18,24.62 °C,1.69,94.66 KPa,2.67,29.44 %,0.96,80.51 Kohms,0.17,31572,0,2.12,1.95,2.82,0.34,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,92 ppm,0.30,510 ppb,0.028,1165ppm,0.04,26.50 °C,1.74,94.68 KPa,2.67,37.36 %,1.22,12946.86 Kohms,27.19,30.60 ppb,0.099,25.55 %,0.82,26.03 °C,2.17
16-07-2025 14:41:27,1.0,1.2,0.18,0.45,0.18,24.62 °C,1.69,94.66 KPa,2.67,29.43 %,0.96,80.43 Kohms,0.17,31555,0,1.96,1.97,2.82,0.36,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,92 ppm,0.30,501 ppb,0.027,1168ppm,0.04,26.50 °C,1.74,94.68 KPa,2.67,37.36 %,1.22,12946.86 Kohms,27.19,30.40 ppb,0.099,25.56 %,0.82,26.02 °C,2.17
16-07-2025 14:41:32,1.0,1.67,0.18,0.45,0.19,24.62 °C,1.69,94.66 KPa,2.67,29.42 %,0.96,80.66 Kohms,0.17,31579,0,1.83,1.97,2.83,0.36,260 ppm,0.84,406 ppm,1.31,112 ppm,0.36,92 ppm,0.30,504 ppb,0.027,1175ppm,0.04,26.50 °C,1.74,94.68 KPa,2.67,37.35 %,1.22,12946.86 Kohms,27.19,30.40 ppb,0.099,25.55 %,0.82,26.03 °C,2.17
16-07-2025 14:41:37,1.0,2.02,0.19,0.45,0.18,24.63 °C,1.69,94.66 KPa,2.67,29.40 %,0.96,81.37 Kohms,0.17,31577,0,2.11,1.94,2.83,0.36,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,91 ppm,0.29,507 ppb,0.027,1161ppm,0.04,26.50 °C,1.74,94.68 KPa,2.67,37.35 %,1.22,12946.86 Kohms,27.19,30.20 ppb,0.099,25.55 %,0.82,26.04 °C,2.17
16-07-2025 14:41:42,1.0,1.89,0.19,0.46,0.19,24.64 °C,1.69,94.66 KPa,2.67,29.42 %,0.96,81.13 Kohms,0.17,31564,0,1.87,1.97,2.82,0.34,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,92 ppm,0.30,502 ppb,0.027,1171ppm,0.04,26.50 °C,1.74,94.68 KPa,2.67,37.36 %,1.22,12946.86 Kohms,27.19,30.40 ppb,0.099,25.55 %,0.82,26.06 °C,2.17
16-07-2025 14:41:47,1.0,1.31,0.18,0.45,0.19,24.63 °C,1.69,94.66 KPa,2.67,29.44 %,0.96,81.29 Kohms,0.17,31568,0,1.91,1.95,2.85,0.33,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,92 ppm,0.30,515 ppb,0.028,1173ppm,0.04,26.50 °C,1.74,94.68 KPa,2.67,37.37 %,1.22,12946.86 Kohms,27.19,30.60 ppb,0.099,25.56 %,0.82,26.04 °C,2.17
16-07-2025 14:41:52,1.0,1.1,0.19,0.45,0.18,24.64 °C,1.69,94.66 KPa,2.67,29.40 %,0.96,81.61 Kohms,0.17,31579,0,2.07,1.97,2.85,0.36,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,91 ppm,0.29,511 ppb,0.028,1161ppm,0.04,26.51 °C,1.74,94.68 KPa,2.67,37.36 %,1.22,12946.86 Kohms,27.19,30.60 ppb,0.099,25.55 %,0.82,26.02 °C,2.17
16-07-2025 14:41:57,1.0,1.68,0.18,0.45,0.18,24.63 °C,1.69,94.66 KPa,2.67,29.43 %,0.96,81.84 Kohms,0.17,31576,0,1.8,1.95,2.84,0.33,259 ppm,0.84,406 ppm,1.31,113 ppm,0.36,91 ppm,0.29,508 ppb,0.027,1159ppm,0.04,26.50 °C,1.74,94.68 KPa,2.67,37.36 %,1.22,12946.86 Kohms,27.19,30.40 ppb,0.099,25.55 %,0.82,26.05 °C,2.17
16-07-2025 14:42:02,1.0,2.05,0.18,0.45,0.18,24.64 °C,1.69,94.66 KPa,2.67,29.44 %,0.96,82.08 Kohms,0.17,31580,0,2.02,1.96,2.83,0.36,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,92 ppm,0.30,504 ppb,0.027,1149ppm,0.04,26.50 °C,1.74,94.67 KPa,2.67,37.36 %,1.22,12946.86 Kohms,27.19,30.20 ppb,0.099,25.55 %,0.82,26.05 °C,2.17
16-07-2025 14:42:07,1.0,1.85,0.18,0.45,0.18,24.64 °C,1.69,94.66 KPa,2.67,29.42 %,0.96,82.00 Kohms,0.17,31579,0,1.95,1.95,2.83,0.33,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,92 ppm,0.30,503 ppb,0.027,1155ppm,0.04,26.50 °C,1.74,94.68 KPa,2.67,37.39 %,1.22,12946.86 Kohms,27.19,30.20 ppb,0.099,25.55 %,0.82,26.02 °C,2.17
16-07-2025 14:42:12,1.0,1.22,0.19,0.45,0.18,24.64 °C,1.69,94.66 KPa,2.67,29.44 %,0.96,82.00 Kohms,0.17,31590,0,1.86,1.95,2.86,0.34,259 ppm,0.84,407 ppm,1.31,113 ppm,0.36,92 ppm,0.30,504 ppb,0.027,1161ppm,0.04,26.50 °C,1.74,94.68 KPa,2.67,37.36 %,1.22,12946.86 Kohms,27.19,30.00 ppb,0.099,25.55 %,0.82,26.05 °C,2.17
16-07-2025 14:42:17,1.0,1.23,0.19,0.45,0.18,24.64 °C,1.69,94.66 KPa,2.67,29.42 %,0.96,82.57 Kohms,0.17,31585,0,2.09,1.94,2.86,0.36,260 ppm,0.84,406 ppm,1.31,112 ppm,0.36,91 ppm,0.29,511 ppb,0.028,1169ppm,0.04,26.51 °C,1.74,94.68 KPa,2.67,37.36 %,1.22,12946.86 Kohms,27.19,30.00 ppb,0.099,25.54 %,0.82,26.03 °C,2.17
16-07-2025 14:42:22,1.0,1.89,0.18,0.45,0.18,24.65 °C,1.69,94.66 KPa,2.67,29.42 %,0.96,82.73 Kohms,0.17,31584,0,1.79,1.97,2.84,0.36,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,92 ppm,0.30,502 ppb,0.027,1165ppm,0.04,26.50 °C,1.74,94.67 KPa,2.67,37.37 %,1.22,12946.86 Kohms,27.19,29.80 ppb,0.095,25.55 %,0.82,26.04 °C,2.17
16-07-2025 14:42:27,1.0,1.97,0.19,0.45,0.18,24.65 °C,1.69,94.66 KPa,2.67,29.43 %,0.96,82.17 Kohms,0.17,31583,0,2.03,1.96,2.87,0.36,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,91 ppm,0.29,511 ppb,0.028,1163ppm,0.04,26.51 °C,1.74,94.68 KPa,2.67,37.37 %,1.22,12946.86 Kohms,27.19,29.60 ppb,0.095,25.55 %,0.82,26.04 °C,2.17
16-07-2025 14:42:32,1.0,1.38,0.19,0.45,0.18,24.64 °C,1.69,94.66 KPa,2.67,29.45 %,0.96,82.25 Kohms,0.17,31606,0,1.97,1.95,2.86,0.33,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,92 ppm,0.30,502 ppb,0.027,1153ppm,0.04,26.51 °C,1.74,94.68 KPa,2.67,37.37 %,1.22,12946.86 Kohms,27.19,29.80 ppb,0.095,25.55 %,0.82,26.05 °C,2.17
16-07-2025 14:42:37,1.0,1.15,0.18,0.46,0.19,24.65 °C,1.69,94.66 KPa,2.67,29.42 %,0.96,82.49 Kohms,0.17,31592,0,1.84,1.94,2.84,0.33,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,91 ppm,0.29,504 ppb,0.027,1165ppm,0.04,26.51 °C,1.74,94.68 KPa,2.67,37.37 %,1.22,12946.86 Kohms,27.19,29.80 ppb,0.095,25.55 %,0.82,26.04 °C,2.17
16-07-2025 14:42:42,1.0,1.65,0.18,0.46,0.19,24.66 °C,1.69,94.66 KPa,2.67,29.44 %,0.96,82.73 Kohms,0.17,31593,0,2.04,1.97,2.86,0.36,260 ppm,0.84,406 ppm,1.31,113 ppm,0.36,91 ppm,0.29,514 ppb,0.028,1169ppm,0.04,26.51 °C,1.74,94.68 KPa,2.67,37.37 %,1.22,12946.86 Kohms,27.19,29.80 ppb,0.095,25.56 %,0.82,26.03 °C,2.17
16-07-2025 14:42:47,1.0,2.06,0.18,0.46,0.19,24.65 °C,1.69,94.66 KPa,2.67,29.44 %,0.96,82.57 Kohms,0.17,31599,0,1.8,1.96,2.86,0.35,259 ppm,0.84,407 ppm,1.31,112 ppm,0.36,91 ppm,0.29,503 ppb,0.027,1171ppm,0.04,26.51 °C,1.74,94.68 KPa,2.67,37.37 %,1.22,12946.86 Kohms,27.19,30.00 ppb,0.099,25.55 %,0.82,26.05 °C,2.17
16-07-2025 14:42:52,1.0,1.68,0.19,0.45,0.18,24.66 °C,1.69,94.66 KPa,2.67,29.44 %,0.96,82.82 Kohms,0.17,31583,0,2.09,1.98,2.84,0.33,259 ppm,0.84,406 ppm,1.31,113 ppm,0.36,91 ppm,0.29,509 ppb,0.027,1179ppm,0.04,26.51 °C,1.74,94.68 KPa,2.67,37.37 %,1.22,12946.86 Kohms,27.19,30.00 ppb,0.099,25.55 %,0.82,26.05 °C,2.17
16-07-2025 14:42:57,1.0,1.18,0.18,0.45,0.18,24.66 °C,1.69,94.66 KPa,2.67,29.44 %,0.96,82.98 Kohms,0.17,31609,0,1.91,1.95,2.83,0.36,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,92 ppm,0.30,510 ppb,0.028,1189ppm,0.04,26.51 °C,1.74,94.68 KPa,2.67,37.36 %,1.22,12946.86 Kohms,27.19,30.20 ppb,0.099,25.55 %,0.82,26.05 °C,2.17
16-07-2025 14:43:02,1.0,1.33,0.19,0.45,0.19,24.66 °C,1.69,94.66 KPa,2.67,29.42 %,0.96,82.73 Kohms,0.17,31590,0,1.91,1.95,2.84,0.33,259 ppm,0.84,406 ppm,1.31,111 ppm,0.36,92 ppm,0.30,502 ppb,0.027,1179ppm,0.04,26.52 °C,1.74,94.68 KPa,2.67,37.37 %,1.22,12946.86 Kohms,27.19,30.20 ppb,0.099,25.55 %,0.82,26.04 °C,2.17
16-07-2025 14:43:07,1.0,1.88,0.18,0.45,0.18,24.66 °C,1.69,94.66 KPa,2.67,29.44 %,0.96,82.73 Kohms,0.17,31608,0,2.07,1.95,2.82,0.33,260 ppm,0.84,406 ppm,1.31,112 ppm,0.36,92 ppm,0.30,516 ppb,0.028,1185ppm,0.04,26.51 °C,1.74,94.68 KPa,2.67,37.36 %,1.22,12946.86 Kohms,27.19,30.20 ppb,0.099,25.55 %,0.82,26.04 °C,2.17
16-07-2025 14:43:12,1.0,2.01,0.18,0.45,0.18,24.66 °C,1.69,94.66 KPa,2.67,29.44 %,0.96,83.14 Kohms,0.17,31618,0,1.8,1.95,2.85,0.34,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,92 ppm,0.30,501 ppb,0.027,1181ppm,0.04,26.51 °C,1.74,94.68 KPa,2.67,37.36 %,1.22,12946.86 Kohms,27.19,30.20 ppb,0.099,25.55 %,0.82,26.05 °C,2.17
16-07-2025 14:43:17,1.0,1.53,0.18,0.45,0.18,24.66 °C,1.69,94.66 KPa,2.67,29.44 %,0.96,82.90 Kohms,0.17,31603,0,2.09,1.94,2.82,0.35,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,92 ppm,0.30,504 ppb,0.027,1184ppm,0.04,26.52 °C,1.74,94.68 KPa,2.67,37.36 %,1.22,12946.86 Kohms,27.19,30.20 ppb,0.099,25.55 %,0.82,26.03 °C,2.17
16-07-2025 14:43:22,1.0,1.18,0.19,0.46,0.19,24.66 °C,1.69,94.66 KPa,2.67,29.43 %,0.96,82.98 Kohms,0.17,31614,0,1.89,1.95,2.85,0.33,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,93 ppm,0.30,513 ppb,0.028,1183ppm,0.04,26.52 °C,1.74,94.68 KPa,2.67,37.35 %,1.22,12946.86 Kohms,27.19,30.20 ppb,0.099,25.55 %,0.82,26.05 °C,2.17
16-07-2025 14:43:27,1.0,1.26,0.18,0.45,0.18,24.66 °C,1.69,94.66 KPa,2.67,29.42 %,0.96,83.14 Kohms,0.17,31612,0,1.94,1.95,2.82,0.34,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,92 ppm,0.30,509 ppb,0.027,1187ppm,0.04,26.52 °C,1.74,94.68 KPa,2.67,37.36 %,1.22,12946.86 Kohms,27.19,30.20 ppb,0.099,25.54 %,0.82,26.04 °C,2.17
16-07-2025 14:43:32,1.0,1.83,0.19,0.45,0.19,24.66 °C,1.69,94.67 KPa,2.67,29.44 %,0.96,83.56 Kohms,0.18,31598,0,2.01,1.94,2.85,0.36,260 ppm,0.84,406 ppm,1.31,112 ppm,0.36,92 ppm,0.30,501 ppb,0.027,1170ppm,0.04,26.51 °C,1.74,94.68 KPa,2.67,37.35 %,1.22,12946.86 Kohms,27.19,30.00 ppb,0.099,25.54 %,0.82,26.05 °C,2.17
16-07-2025 14:43:37,1.0,2.02,0.18,0.46,0.19,24.66 °C,1.69,94.66 KPa,2.67,29.44 %,0.96,82.90 Kohms,0.17,31611,0,1.84,1.95,2.81,0.36,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,92 ppm,0.30,511 ppb,0.028,1192ppm,0.04,26.51 °C,1.74,94.68 KPa,2.67,37.36 %,1.22,12946.86 Kohms,27.19,30.00 ppb,0.099,25.54 %,0.82,26.03 °C,2.17
16-07-2025 14:43:42,1.0,1.51,0.18,0.45,0.18,24.67 °C,1.69,94.66 KPa,2.67,29.43 %,0.96,82.90 Kohms,0.17,31622,0,2.09,1.97,2.85,0.36,260 ppm,0.84,406 ppm,1.31,112 ppm,0.36,92 ppm,0.30,517 ppb,0.028,1187ppm,0.04,26.52 °C,1.74,94.68 KPa,2.67,37.35 %,1.22,12946.86 Kohms,27.19,30.00 ppb,0.099,25.55 %,0.82,26.05 °C,2.17
